date, pm25, pm10, o3, no2, so2, co
2024/6/14, 34, 12, 32, 6, , 
2024/6/15, 39, 4, 31, 5, , 
2024/6/17, 16, 8, 30, 9, , 
2024/6/18, 28, 8, 32, 12, , 
2024/6/19, 63, 11, 28, 8, , 
2024/6/20, 35, 26, 27, 14, , 
2024/6/21, 66, 12, 28, 8, , 
2024/6/22, 23, 11, 36, 8, , 
2024/6/23, 35, 9, 43, 12, , 
2024/6/24, 34, 5, 47, 15, , 
2024/6/25, 43, 13, 57, 16, , 
2024/6/26, 55, 29, 67, 20, , 
2024/6/27, 76, 15, 57, 19, , 
2024/6/28, 53, 7, 49, 16, , 
2024/6/29, 30, 14, 49, 10, , 
2024/6/30, 55, 24, 30, 10, , 
2024/1/1, 28, 9, 24, 5, , 
2024/1/2, 18, 3, 29, 4, , 
2024/1/3, 10, 4, 30, 6, , 
2024/1/4, 12, 14, 29, 14, , 
2024/1/5, 22, 11, 22, 15, , 
2024/1/6, 25, 9, 18, 10, , 
2024/1/7, 30, 5, 27, 5, , 
2024/1/8, 19, 13, 24, 10, , 
2024/1/9, 39, 24, 13, 16, , 
2024/1/10, 71, 41, 3, 23, , 
2024/1/11, 103, 32, , 22, , 
2024/1/12, 78, 19, , 16, , 
2024/1/13, 61, 17, , 5, , 
2024/1/14, 57, 16, , 7, , 
2024/1/15, 50, 9, 23, 11, , 
2024/1/16, 12, 27, 11, 23, , 
2024/1/17, 60, 12, 23, 15, , 
2024/1/18, 38, 25, 23, 21, , 
2024/1/19, 71, 27, 15, 15, , 
2024/1/20, 79, 37, 10, 21, , 
2024/1/21, 101, 20, 23, 15, , 
2024/1/22, 56, 11, 29, 10, , 
2024/1/23, 11, 12, 32, 6, , 
2024/1/24, 20, 26, 29, 11, , 
2024/1/25, 36, 21, 23, 17, , 
2024/1/26, 41, 14, 29, 12, , 
2024/1/27, 15, 29, 11, 18, , 
2024/1/28, 64, 36, 3, 20, , 
2024/1/29, 87, 48, 1, 19, , 
2024/1/30, 109, 30, 30, 22, , 
2024/1/31, 71, 15, 29, 16, , 
2024/2/1, 28, 23, 24, 19, , 
2024/2/2, 37, 8, 23, 7, , 
2024/2/3, 30, 1, 23, 5, , 
2024/2/4, 5, 13, 24, 4, , 
2024/2/5, 27, 22, 21, 5, , 
2024/2/6, 41, 12, 23, 5, , 
2024/2/7, 31, 6, 23, 14, , 
2024/2/8, 28, 16, , 12, , 
2024/2/9, 38, 13, , 10, , 
2024/2/10, 39, 13, , 10, , 
2024/2/11, 29, 6, , 10, , 
2024/2/12, 13, 8, , 14, , 
2024/2/13, 9, 10, , 12, , 
2024/2/14, 18, 16, , 15, , 
2024/2/15, 42, 27, , 21, , 
2024/2/16, 60, 16, 19, 11, , 
2024/2/17, 44, 18, 24, 14, , 
2024/2/18, 47, 5, 29, 7, , 
2024/2/19, 16, 14, 28, 11, , 
2024/2/20, 17, 16, 26, 9, , 
2024/2/21, 26, 6, 26, 9, , 
2024/2/22, 22, 4, 34, 6, , 
2024/2/23, 14, 6, 31, 9, , 
2024/2/24, 16, 7, 29, 10, , 
2024/2/25, 16, 10, 18, 13, , 
2024/2/26, 29, 21, 27, 12, , 
2024/2/27, 62, 28, 28, 15, , 
2024/2/28, 72, 32, 18, 21, , 
2024/2/29, 71, 36, 29, 19, , 
2024/3/1, 73, 17, 17, 18, , 
2024/3/2, 45, 22, 19, 14, , 
2024/3/3, 62, 29, 22, 16, , 
2024/3/4, 77, 23, 17, 15, , 
2024/3/5, 54, 12, 22, 17, , 
2024/3/6, 29, 29, 19, 12, , 
2024/3/7, 72, 22, 27, 10, , 
2024/3/8, 61, 19, 19, 11, , 
2024/3/9, 58, 15, , 9, , 
2024/3/10, 47, 16, , 12, , 
2024/3/11, 38, 14, , 17, , 
2024/3/12, 36, 19, , 10, , 
2024/3/13, 54, 20, , 14, , 
2024/3/14, 44, 25, , 14, , 
2024/3/15, 47, 6, , 8, , 
2024/3/16, 15, 14, , 14, , 
2024/3/17, 26, 23, , 18, , 
2024/3/18, 55, 32, 15, 18, , 
2024/3/19, 69, 26, 31, 15, , 
2024/3/20, 56, 25, 33, 18, , 
2024/3/21, 51, 30, 31, 16, , 
2024/3/22, 55, 22, 32, 16, , 
2024/3/23, 46, 3, 30, 5, , 
2024/3/24, 5, 6, 32, 5, , 
2024/3/27, 27, 7, 39, 9, , 
2024/3/28, 15, 8, 32, 12, , 
2024/3/29, 22, 24, 12, 15, , 
2024/3/30, 53, 42, 28, 16, , 
2024/3/31, 56, 11, 30, 8, , 
2023/10/1, 43, 27, 29, 16, , 
2023/10/2, 56, 30, 29, 17, , 
2023/10/3, 41, 11, 28, 10, , 
2023/10/4, 19, 18, 22, 15, , 
2023/10/5, 37, 18, 26, 13, , 
2023/10/6, 33, 22, 28, 16, , 
2023/10/7, 54, 19, 26, 10, , 
2023/10/8, 42, 24, 25, 14, , 
2023/10/9, 46, 28, 14, 20, , 
2023/10/10, 56, 36, 26, 22, , 
2023/10/11, 62, 41, 30, 23, , 
2023/10/12, 64, 31, 32, 15, , 
2023/10/13, 55, 20, 26, 9, , 
2023/10/14, 27, 11, 25, 6, , 
2023/10/15, 5, 11, 24, 11, , 
2023/10/16, 26, 10, 18, 10, , 
2023/10/17, 16, 14, 13, 10, , 
2023/10/18, 29, 27, 7, 11, , 
2023/10/19, 68, 19, 4, 11, , 
2023/10/20, 49, 5, 29, 7, , 
2023/10/21, 13, 9, 26, 7, , 
2023/10/22, 5, 15, 17, 13, , 
2023/10/23, 12, 19, 6, 16, , 
2023/10/24, 40, 17, 5, 13, , 
2023/10/25, 36, 7, 20, 9, , 
2023/10/26, 19, 16, 25, 14, , 
2023/10/27, 35, 10, 26, 9, , 
2023/10/28, 11, 10, 25, 8, , 
2023/10/29, 19, 8, 21, 10, , 
2023/10/30, 16, 9, 28, 11, , 
2023/10/31, 30, 11, 19, 8, , 
2023/11/1, 7, 7, 23, 6, , 
2023/11/2, 5, 8, 26, 7, , 
2023/11/3, 5, 12, 19, 9, , 
2023/11/4, 5, 5, 27, 3, , 
2023/11/5, 5, 9, 25, 6, , 
2023/11/6, 5, 8, 27, 9, , 
2023/11/7, 5, 11, 27, 10, , 
2023/11/8, 5, 11, 24, 11, , 
2023/11/9, 10, 8, 26, 9, , 
2023/11/10, 5, 7, 24, 7, , 
2023/11/11, 9, 13, 14, 11, , 
2023/11/12, 30, 18, 6, 13, , 
2023/11/13, 58, 11, 28, 7, , 
2023/11/14, 8, 7, 28, 8, , 
2023/11/15, 8, 9, 20, 16, , 
2023/11/16, 43, 17, 11, 16, , 
2023/11/17, 56, 20, 11, 14, , 
2023/11/18, 56, 7, 29, 9, , 
2023/11/19, 18, 9, 27, 7, , 
2023/11/20, 10, 9, 17, 12, , 
2023/11/21, 22, 11, 18, 8, , 
2023/11/22, 32, 15, 11, 14, , 
2023/11/23, 39, 10, 26, 8, , 
2023/11/24, 20, 8, 25, 8, , 
2023/11/25, 9, 9, 22, 10, , 
